quote,url
Papers should include more good news.,https://captionsbest.blogspot.com/2016/01/congratulations-to-lynn-and-tavit.html
Work can be fun.,https://captionsbest.blogspot.com/2016/01/enjoying-teaching-and-tutoring.html
Enjoy each new day.,https://captionsbest.blogspot.com/2015/12/happy-2016.html
Enjoy each day and don't worry about tomorrow.,https://captionsbest.blogspot.com/2015/12/happy-holidays-to-all.html
At times my computer is a pain.,https://captionsbest.blogspot.com/2015/12/computers-can-be-frustrating.html
Teachers learn from students.,https://captionsbest.blogspot.com/2015/11/new-student-today.html
Moving is a lot of work.,https://captionsbest.blogspot.com/2015/11/teaching-again-and-enjoying-fl.html
"Fall is fun, but winter is too cold up north. Fly south with the birds. They know best.",https://captionsbest.blogspot.com/2015/11/relocating-soon.html
Fun hats make people say Hi!,https://captionsbest.blogspot.com/2015/10/my-hat-is-hit-in-newport.html
Medicine has come a long way.,https://captionsbest.blogspot.com/2015/10/it-is-getting-cold-in-new-england.html
You never know the weather in New England,https://captionsbest.blogspot.com/2015/10/wonderful-time-to-swim.html
"Before surgery, interview your surgeon",https://captionsbest.blogspot.com/2015/10/back-to-blog.html
Sometimes it pays to just go to the office and wait. Otherwise they will not see you.,https://captionsbest.blogspot.com/2015/09/stomach-issues.html
"Surgery is not fun, but needed.",https://captionsbest.blogspot.com/2015/08/teaching-is-done-at-libraries.html
"If you need someone to fix things, you can find people to help at Home Depot.",https://captionsbest.blogspot.com/2015/08/summer-is-going-quickly.html
Swim your pains away.,https://captionsbest.blogspot.com/2015/07/writing-class-ended-today.html
Tell your body to behave!,https://captionsbest.blogspot.com/2015/07/a-medical-week.html
Interview your doctors. It pays off.,https://captionsbest.blogspot.com/2015/07/dealing-with-some-medical-issues.html
I am lucky to have a wonderful family.,https://captionsbest.blogspot.com/2015/06/great-time-with-family-and-friends.html
Take your time to find the right surgeon. You don't want a mistake.,https://captionsbest.blogspot.com/2015/06/interviewing-doctors-and-leaving-for.html
Do what you love and you will do it well.,https://captionsbest.blogspot.com/2015/06/fun-class.html
Time marches on and things do change.,https://captionsbest.blogspot.com/2015/06/a-trip-to-watch-hill.html
As you get older time flies.,https://captionsbest.blogspot.com/2015/06/back-online-with-google-chrome.html
I think it is good that fathers are now more involved in the child care.,https://captionsbest.blogspot.com/2015/06/happy-fathers-day-to-all-dads.html
"If you can't succeed, keep trying till you can!",https://captionsbest.blogspot.com/2015/06/i-just-found-site-that-works.html
AOL needs help.,https://captionsbest.blogspot.com/2015/05/computer-problems-with-aol-e-mail.html
We are taking the sun to Rhode Island,https://captionsbest.blogspot.com/2015/05/getting-ready-to-relocate.html
It is fun to tutor.,https://captionsbest.blogspot.com/2015/05/fun-tutoring-today.html
Keeping in touch with friends is important.,https://captionsbest.blogspot.com/2015/04/lunch-with-movie-club.html
If you are a senior try our senior center. They offer lots of good courses.,https://captionsbest.blogspot.com/2015/04/it-is-hot-in-florida-now.html
Florida winter camp is nearly over. Back to reality soon.,https://captionsbest.blogspot.com/2015/04/folds-are-leaving-florida.html
The stock market can be a roller coaster ride.,https://captionsbest.blogspot.com/2015/04/wow-market-took-real-hit-today.html
Good weather makes you feel better.,https://captionsbest.blogspot.com/2015/04/it-is-getting-hot-in-florida.html
"Enjoy your company, but pace yourself with them.",https://captionsbest.blogspot.com/2015/04/nice-class-today.html
Life can change each day. We need to be flexible and adapt.,https://captionsbest.blogspot.com/2015/03/every-day-is-new-adventure.html
Some days do not go smoothly.,https://captionsbest.blogspot.com/2015/03/comoputers-are-frustrating.html
"What did we do when we did not have computers? Answer , We had time for other activities.",https://captionsbest.blogspot.com/2015/03/computers-are-great-when-they-work.html
Many of the banks needs help. They forgot about the customers' needs.,https://captionsbest.blogspot.com/2015/03/confusing-day-with-wells-fargo-bank.html
"Enjoy your job otherwise, find one you like.",https://captionsbest.blogspot.com/2015/03/delightfull-student-today.html
Reading can take you anywhere you want to go. You never have to leave your chair.,https://captionsbest.blogspot.com/2015/03/saturday-teaching-day.html
Enjoy your work. Pick something you like to do. Why not?,https://captionsbest.blogspot.com/2015/03/my-computer-works-again.html
Junk shops often have good stuff.,https://captionsbest.blogspot.com/2015/02/fun-at-good-will.html
You have to be flexible in this life to adjust to what takes place.,https://captionsbest.blogspot.com/2015/02/fun-student-day.html
I am glad not to be in the snow.,https://captionsbest.blogspot.com/2015/02/company-from-rhode-island.html
Enjoy your work. Why not! I love my teaching,https://captionsbest.blogspot.com/2015/02/teahing-new-students-is-fun.html
I am lucky to love teaching.,https://captionsbest.blogspot.com/2015/02/fun-students.html
"I do not miss the snow , ice and cold weather.",https://captionsbest.blogspot.com/2015/02/teaching-and-nice-weekend.html
Currency exchange is interesting. Watch it!,https://captionsbest.blogspot.com/2015/01/good-time-to-buy-canadian-dollars.html
You have to take care of the body. It is the only one you have.,https://captionsbest.blogspot.com/2015/01/a-good-day.html
Keeping active is keeping young.,https://captionsbest.blogspot.com/2015/01/a-great-weekend-with-family.html
Never stop learning. There is so much to learn about that you do not know. Happy 2015,https://captionsbest.blogspot.com/2015/01/busy-week.html
The library system in the United States is one of the best examples of aa democarcy in actioin.,https://captionsbest.blogspot.com/2015/01/cold-crisp-florida-day.html
Physical Therapy is a great field for young people to get into. There will always be a job.,https://captionsbest.blogspot.com/2015/01/fun-friday.html
Don't let life pass you by. Happy 2015. Enjoy each day and appreciate the beauty in life.,https://captionsbest.blogspot.com/2015/01/jan-1-2015.html
"We are lucky to be alive and well. Thanks to all for being special. Fondly, Nancy",https://captionsbest.blogspot.com/2014/12/happy-holidays-to-all.html
People are too busy today. Young people need to take more time and value friends and famiily more. In life family and friends are very important. Don't ignore them. You will regret it later.,https://captionsbest.blogspot.com/2014/12/retruned-from-tampa.html
Things were simpler before appliances controlled our lives.,https://captionsbest.blogspot.com/2014/11/getting-appliances-repaired.html
Returning is always an adventure.,https://captionsbest.blogspot.com/2014/11/back-in-naples-and-got-things-fixed.html
I am my dentist's pension plan.,https://captionsbest.blogspot.com/2014/11/we-relocate-this-week-tomorrow-dentist.html
You can have friends all over.the place.Why not?,https://captionsbest.blogspot.com/2014/10/finishing-medical-stuff.html
You can lost patience with your computer.,https://captionsbest.blogspot.com/2014/10/problems-posting-new-titles.html
Have fun with your thoughts! No charge.,https://captionsbest.blogspot.com/2014/10/fun-in-writing-class.html
Read your statements. You never know what you will see.,https://captionsbest.blogspot.com/2014/10/check-your-statements.html
Do what you enjoy and you will be good at it.,https://captionsbest.blogspot.com/2014/10/new-instant-chord-maker.html
So many families have problems.,https://captionsbest.blogspot.com/2014/10/two-music-students-arrive.html
What will happen at the happening? I will let you know!,https://captionsbest.blogspot.com/2014/10/kitchen-update.html
Senior Centers provide a really good service with lunch and interesting courses.,https://captionsbest.blogspot.com/2014/10/good-lunch-at-senior-center.html
Try something new. Why not!,https://captionsbest.blogspot.com/2014/10/doing-music-program.html
Classes are fun . You meet many nice people.,https://captionsbest.blogspot.com/2014/10/thursday-writing-class.html
You never know what a new day will bring.,https://captionsbest.blogspot.com/2014/09/wonderful-writing-class.html
Appreciate your family. You are lucky to have loved ones.,https://captionsbest.blogspot.com/2014/09/wonderful-family-party.html
"Enjoy the fall weather, it is a lovely time of year.",https://captionsbest.blogspot.com/2014/09/female-plumber-arrived.html
When you have a house there is always something that needs help.,https://captionsbest.blogspot.com/2014/09/painting-and-walk.html
It is fun to try out new programs.,https://captionsbest.blogspot.com/2014/09/new-class-today-at-different-library.html
The good part of art is you can do whatever you feel like.,https://captionsbest.blogspot.com/2014/09/painted-zany-picture.html
Fall in the north can be lovely.,https://captionsbest.blogspot.com/2014/09/apple-picking-today.html
Libraries offer great programs1,https://captionsbest.blogspot.com/2014/09/my-classes-at-two-libraries-are-now-full.html
They are supposed to compensate me for my waiting time. We will see if it happens.,https://captionsbest.blogspot.com/2014/09/waiting-for-home-service.html
Writing pays off!,https://captionsbest.blogspot.com/2014/09/it-pays-to-dispute-bill.html
Most dogs have a great lifestyle. Better than some people.,https://captionsbest.blogspot.com/2014/09/rupert-does-new-trick.html
Enjoy a nice surprise!,https://captionsbest.blogspot.com/2014/08/richard-and-betsys-resort.html
Do what you enjoy. It will work and be a hit!,https://captionsbest.blogspot.com/2014/08/wonderful-library-program.html
I love to do teaching programs.,https://captionsbest.blogspot.com/2014/08/over-11000-hits-on-blog.html
I am learning about playing my uke for others.,https://captionsbest.blogspot.com/2014/08/uke-concert-at-senior-center.html
Love my uke lessons with my talented daughter.,https://captionsbest.blogspot.com/2014/08/good-uke-lesson-and-banking-day.html
"My teeth are my diamonds. I don't have any jewels, all my money is in my mouth.",https://captionsbest.blogspot.com/2014/08/surgery-is-over-hooray.html
"Even though we do not use the beach , seeing the ocean is delightful.",https://captionsbest.blogspot.com/2014/08/catching-up.html
I love my mother /daughter trips!,https://captionsbest.blogspot.com/2014/08/wonderful-chicago-visit.html
"Libraries offer wonderful programs, free!",https://captionsbest.blogspot.com/2014/07/booked-dental-surgery.html
I just got booked to play the uke--My new hobby.,https://captionsbest.blogspot.com/2014/07/new-numbers-10920-have-seen-this-blog.html
"My kids are grown up, but my teeth seem to keep me busy. Take care of your teeth.",https://captionsbest.blogspot.com/2014/07/dental-problems-can-keep-me-busy.html
Take advantage of your library free programs.,https://captionsbest.blogspot.com/2014/07/working-on-teeth-seminars-and-writing.html
Try something new.,https://captionsbest.blogspot.com/2014/07/learning-to-play-uke.html
Try something new. Why not!,https://captionsbest.blogspot.com/2014/07/a-uke-presentation.html
I still love to do programs and teach. Why not!,https://captionsbest.blogspot.com/2014/07/hearing-workshop.html
We are lucky to have a great family.,https://captionsbest.blogspot.com/2014/07/wonderful-family-outing-with-krims.html
That is the fun part of teaching. You meet such nice students.,https://captionsbest.blogspot.com/2014/07/fun-interview-with-former-student.html
It really is a small world,https://captionsbest.blogspot.com/2014/07/writing-class-exercise-and-even-dentist.html
It is good for your brain to try to learn something brand new. A challenge!,https://captionsbest.blogspot.com/2014/07/fun-uke-class.html
Everyone needs a daughter!,https://captionsbest.blogspot.com/2014/07/my-second-uke-lesson.html
It takes work and concentration to learn a new insturment.,https://captionsbest.blogspot.com/2014/07/learning-uke.html
Change the holiday dates if you have to.,https://captionsbest.blogspot.com/2014/07/booked-family-party.html
Grand dogs can be lots of fun. Like grandchildren they visit and the parents have the rest of the work. Fun!,https://captionsbest.blogspot.com/2014/06/exercise.html
Gemini's can do lots of things and then they need a nap. Dentists today can do miracles.,https://captionsbest.blogspot.com/2014/06/writing-class-and-dentist-day.html
Start all over if you have to. You can't learn in a day. You need to understand the instrument.,https://captionsbest.blogspot.com/2014/06/my-uke-needs-help.html
Never stop learning.,https://captionsbest.blogspot.com/2014/06/new-uke-bought-today.html
Love to hear from new friends online. Send me a message.,https://captionsbest.blogspot.com/2014/06/learning-about-ukes.html
It is nice to see groups get together just for fun.,https://captionsbest.blogspot.com/2014/06/wonderful-uke-program.html
"Take care of your body, it is the only one you will get.",https://captionsbest.blogspot.com/2014/06/rainy-medical-day.html
All grandchildren are fun even dogs. Rupert likes to visit.,https://captionsbest.blogspot.com/2014/06/medical-day-and-rupert-visit.html
It is fun to reconnect with family up north.,https://captionsbest.blogspot.com/2014/06/birthday-lunch.html
Go to the best place where you like the medical staff. Why not!,https://captionsbest.blogspot.com/2014/06/lahey-visit.html
Family is very important!,https://captionsbest.blogspot.com/2014/06/wonderful-family-weekend.html
As you get older each week often has a medical apt. At least we can try to patch up our bodies.,https://captionsbest.blogspot.com/2014/06/medical-day.html
I love taking job interviews. Fun!,https://captionsbest.blogspot.com/2014/06/nice-visit-with-college-friends.html
Enjoy every day not just your birthday.,https://captionsbest.blogspot.com/2014/06/wonderful-birthday.html
Getting older can include getting better.,https://captionsbest.blogspot.com/2014/06/nice-early-birthday-day.html
"Relocating is fun, but it takes some adjustments.",https://captionsbest.blogspot.com/2014/05/boy-it-is-cold.html
Joining new groups lead to new options.,https://captionsbest.blogspot.com/2014/05/interesting-day-today.html
Death can be painful for the patient and the family.,https://captionsbest.blogspot.com/2014/05/familiy-time.html
Research pays off.,
All the seniors are in Winter Camp. Now it is time to go home.,https://captionsbest.blogspot.com/2014/05/getting-closer-to-leaving.html
We all need people to help us along the way.,https://captionsbest.blogspot.com/2014/04/a-wonderful-teaching-day.html
You really have to follow up what the bank is posting. Don't assume it is accurate.,https://captionsbest.blogspot.com/2014/04/working-on-getting-ready-to-relocate.html
What a surprise to learn that the ruby red slippers were actually silver not red.,https://captionsbest.blogspot.com/2014/04/fun-class-with-my-student-today.html
Snow is for the Eskimos and Sarah Palin,https://captionsbest.blogspot.com/2014/04/social-time-in-florida.html
Teaching is fun with nice students. Hope the new skin cream heals a problem.,https://captionsbest.blogspot.com/2014/04/zipper-club-meeting.html
Going to the doctors office works better than phone calls.,https://captionsbest.blogspot.com/2014/04/medical-day-again.html
Make time for your family. Nothing is more important!,https://captionsbest.blogspot.com/2014/04/wonderful-motherdaughter-time.html
Time to get ready to go north. Hope the weather gets warmer there.,https://captionsbest.blogspot.com/2014/04/getting-things-updated.html
We all need a break!,https://captionsbest.blogspot.com/2014/04/nice-overnight-trip.html
Network!,https://captionsbest.blogspot.com/2014/04/new-driver-hired-tonight.html
If you need something ask for it!,https://captionsbest.blogspot.com/2014/04/one-day-at-time.html
"When your invited guests do not arrive, time to go to the movies. PS How do you delete comments from the blog?",https://captionsbest.blogspot.com/2014/03/no-guests-arrive.html
I was glued together last summer after an accident. It beats having stitiches.,https://captionsbest.blogspot.com/2014/03/meeting-of-zipper-club.html
You need to ask for what you want.,https://captionsbest.blogspot.com/2014/03/bank-proposals.html
"Take a break ,you may need it too!",https://captionsbest.blogspot.com/2014/03/nice-getaway.html
"If you want to find new jobs, you have to market yourself.",https://captionsbest.blogspot.com/2014/03/library-proposals.html
Aging is not always easy.,https://captionsbest.blogspot.com/2014/03/saw-movie-nebraska.html
It is nice to see a patient get well.,https://captionsbest.blogspot.com/2014/03/thinggs-are-getting-better.html
You have to be lucky with your health. Cherish it!,https://captionsbest.blogspot.com/2014/03/things-are-improving.html
Sometimes it is good when things slow down.,https://captionsbest.blogspot.com/2014/03/a-quiet-class-no-students.html
Mother Nature takes her time to heal.,https://captionsbest.blogspot.com/2014/03/company-today.html
Make some time for fun things in your day.,https://captionsbest.blogspot.com/2014/02/where-did-month-go.html
Everyone needs a break!,https://captionsbest.blogspot.com/2014/02/an-overnight-getawau.html
"If you do what you enjoy it is not work. I do not enjoy driving, it is work.",https://captionsbest.blogspot.com/2014/02/lovely-florida-weather.html
Appreicate your good health.,https://captionsbest.blogspot.com/2014/02/an-exhausting-time.html
Life can be complicated.,https://captionsbest.blogspot.com/2014/01/surgery-is-done-now-it-is-time-to-heal.html
Time Out!,https://captionsbest.blogspot.com/2014/01/facing-major-sugery-is-no-picnic.html
Life can be tough at times.,https://captionsbest.blogspot.com/2014/01/teaching-today-break-from-medical-issues.html
I am hanging by a thread.,https://captionsbest.blogspot.com/2014/01/tough-times-right-now.html
This too will pass. I hope!,https://captionsbest.blogspot.com/2014/01/computer-and-medical-problems.html
As you get older the body requires a lot of repair work.,https://captionsbest.blogspot.com/2014/01/dentist-today.html
No fun being sick.,https://captionsbest.blogspot.com/2014/01/feeling-better.html
Staying well is a trick.,https://captionsbest.blogspot.com/2014/01/more-medical-apts.html
There are lots of stupid people in the world. Too bad you can't fix stupid.,https://captionsbest.blogspot.com/2014/01/still-working-on-shaking-cold.html
Some things are tougher than others to handle. Health issues are up there as tough problems.,https://captionsbest.blogspot.com/2014/01/dealing-with-health-issues-is-not.html
In my next life should I be a doctor???? No way! They gave me very costly medicine that tastes vile for $175. My insruance did not cover the medicine. They should pay me for taking the stuff. Happy 2014.,https://captionsbest.blogspot.com/2014/01/a-six-hour-wait-at-walk-in-clinic.html
Travel if you have to and get the best medical advice. It will pay off.,https://captionsbest.blogspot.com/2014/01/lahey-clinic-is-just-great.html
"Medical issues are not fun , but sometimes you have no choice. Happy Holidays.",https://captionsbest.blogspot.com/2013/12/a-confusing-week.html
Sometimes you have to take risks and hope they work.,https://captionsbest.blogspot.com/2013/12/medical-week.html
You have to decide what risks you are willing to take. Listen to your body. As we age it takes more listening.,https://captionsbest.blogspot.com/2013/12/nice-students.html
Enjoy family visits.,https://captionsbest.blogspot.com/2013/12/fun-time-with-family.html
Every day is a new adventure.,https://captionsbest.blogspot.com/2013/11/new-computer-is-learning-situation.html
Enjoy the holidays and don't get too tired. Take lots of naps. They really help.,https://captionsbest.blogspot.com/2013/11/happy-thanksgiving-to-everyone.html
Let's go back to pencil and paper.,https://captionsbest.blogspot.com/2013/11/new-computer.html
Every day has new challenges.,https://captionsbest.blogspot.com/2013/11/a-new-computer.html
There is power in the pen and in the computer. Writing makes good sense.,https://captionsbest.blogspot.com/2013/10/letter-writintg.html
Be lucky with your family if possible. I have been lucky.,https://captionsbest.blogspot.com/2013/10/fun-lunch-with-friends.html
You have to find the right doctors. That takes some doing!,https://captionsbest.blogspot.com/2013/10/a-full-medical-day.html
I applaud Lahey Clinic. They are just great.,https://captionsbest.blogspot.com/2013/10/lahey-clinic-is-fabulous.html
Senior Centers serve a useful purpose.,https://captionsbest.blogspot.com/2013/10/send-me-ideas-for-aging-gracefully.html
Pamper your body. I love massage!,https://captionsbest.blogspot.com/2013/10/send-your-ideas.html
Teaching can be lots of fun.,https://captionsbest.blogspot.com/2013/10/teaching-again-and-loving-it.html
Love to share happy times with my wonderful family.,https://captionsbest.blogspot.com/2013/10/great-family-party-and-wonderful-new.html
Seniors make excellent students. I love giving classes for them.,https://captionsbest.blogspot.com/2013/09/wonderful-lunch-with-my-daughter.html
You really appreciate your home after a tough trip.,https://captionsbest.blogspot.com/2013/09/senior-center-has-excellent-classes.html
If you live long enough amazing things do happen.!,https://captionsbest.blogspot.com/2013/09/dental-day.html
Life is a roller coaster and sometimes it is very rocky.Time does help to heal the body and the mind. I am not rushing back to Ca.,https://captionsbest.blogspot.com/2013/09/goodbye-ca_15.html
"I was lucky to get home safely and thank the medical folks for pasting me back together. I am bruised, but luckily nothing was broken. You have to be thankful . It could have been much worse.",https://captionsbest.blogspot.com/2013/09/medical-vacation.html
It is nice to share holidays with your family.,https://captionsbest.blogspot.com/2013/09/getting-ready-to-travel.html
It is fun to do new programs for different groups.,https://captionsbest.blogspot.com/2013/08/retirement-program-today.html
You never know what is around the corner.,https://captionsbest.blogspot.com/2013/08/new-way-to-type.html
Travel when you can. you always learn something new.,https://captionsbest.blogspot.com/2013/08/typing-on-new-site.html
"If you are not happy with your treatment plan, speak to the person in charge and make some changes. You are your best advocate.",https://captionsbest.blogspot.com/2013/08/typing-again-on-new-site-could-not-type.html
"Enjoy each day, even if the body needs more attention. Be happy we are still here!",https://captionsbest.blogspot.com/2013/07/new-european-blog-readers.html
Each new day is a new adventure. Enjoy what you do!,https://captionsbest.blogspot.com/2013/07/booked-our-trip-to-visit-family.html
Enjoy the beauty of the place you are in. Rhode Island is surrounded by the water. That makes parts of the state so beautiful.,https://captionsbest.blogspot.com/2013/07/exercise-day.html
"When you are in a heat wave, drink a lot and don't knock yourself out. It is not worth it.",https://captionsbest.blogspot.com/2013/07/low-key-day.html
"When it is too hot, forget exercising. It does not make good sense.",https://captionsbest.blogspot.com/2013/07/interesting-day.html
Getting the best deal takes some work. Patience is a must.,https://captionsbest.blogspot.com/2013/07/working-on-booking-flights.html
"There are times when being deaf with a cochlear implant is most pleasant. I can hear when I want , and I can stop hearing when I want. I have choices.",https://captionsbest.blogspot.com/2013/07/happy-to-type-again.html
Stay cool even in the heat.,https://captionsbest.blogspot.com/2013/07/what-pleasure.html
If you live long enough some problems get resolved. Time helps!,https://captionsbest.blogspot.com/2013/07/great-i-can-type-again.html
Glad to be back.,https://captionsbest.blogspot.com/2013/07/hope-my-blog-works.html
Life is not always fair!,https://captionsbest.blogspot.com/2013/07/enjoyed-family-party.html
Cooks do sometimes forget all the stuff in the oven.,https://captionsbest.blogspot.com/2013/07/fun-famlly-night.html
We are lucky when we can connect with our children.,https://captionsbest.blogspot.com/2013/07/july-4th.html
We love when we can connect with the family. I am lucky to have great kids and grandkids.,https://captionsbest.blogspot.com/2013/07/fun-day-with-massage-bridge-and-dinner.html
When you have a problem you have to hang in there and find the right person to help you out. This sometimes takes some time. Patience is a virtue!,https://captionsbest.blogspot.com/2013/06/wonderful-andrew.html
This too will pass.,
Paitence is a virtue . I could use some right now.,https://captionsbest.blogspot.com/2013/06/computers-can-be-pain_24.html
Family times are lots of fun.,https://captionsbest.blogspot.com/2013/06/enjoyable-time-with-family.html
Welcome! Glad to have new readers . Let me hear from you.,https://captionsbest.blogspot.com/2013/06/lots-of-new-visitors-to-my-blog.html
It is fun to meet new people.,https://captionsbest.blogspot.com/2013/06/my-library-program-is-getting-panelists.html
Things can complex when your communication systems just don't work. It can be most frustrating.,https://captionsbest.blogspot.com/2013/06/technology-can-be-pain.html
"Computers can drive you crazy. I do need it, but there are times I am ready to throw it out the window.",https://captionsbest.blogspot.com/2013/06/computers-can-be-pain.html
Things are too complex!,https://captionsbest.blogspot.com/2013/06/new-phone-is-confusing.html
With medical issues you should seek out the best doctors and best hosptials. In the long run it pays! Feeling well is a blessing.,https://captionsbest.blogspot.com/2013/06/interesting-week-at-lahey-clinic.html
Enjoy each day as if it was your bithday. Why not! Connect with family and friends for their birthday. People will be happy to hear from you. I was very happy to hear from many on Facebook. That is the plus of Facebook.,https://captionsbest.blogspot.com/2013/06/birthday-time-is-fun.html
Enjoy birthdays . Appreicate your birthday and remember others as well. They will be happy to hear from you.,https://captionsbest.blogspot.com/2013/06/nice-birthday-wishes.html
Appreiciate the scenery . Why not!,https://captionsbest.blogspot.com/2013/05/the-sun-is-back-and-nice-ride-to.html
At elegant places you pay for the view.,https://captionsbest.blogspot.com/2013/05/delightful-day-in-newport.html
All the doctors are our kids age now.,https://captionsbest.blogspot.com/2013/05/medical-appointments.html
It is always a treat to connect with family. Rufus is a dog with two personalities. A fun morning.,https://captionsbest.blogspot.com/2013/05/wonderful-morning-with-my-son-and.html
Lilvraries offer many free wonderful programs. Try them!,https://captionsbest.blogspot.com/2013/05/full-senior-center-day.html
Take care of your teeth. Fixing them is very costly.,https://captionsbest.blogspot.com/2013/05/line-dancing-lunch-and-dentist.html
If you have a good idea share it. You may find it will lead to a new job. I love getting new jobs.,https://captionsbest.blogspot.com/2013/05/working-on-new-places-to-teach.html
Relocating is Work!,https://captionsbest.blogspot.com/2013/05/relocating-took-most-of-week.html
"Try new things ,open up your life.",https://captionsbest.blogspot.com/2013/05/pickleball-is-fun.html
Networking is the key to getting jobs.,https://captionsbest.blogspot.com/2013/05/fancy-nancy-is-relocating.html
"It takes marketing to find new places to run programs. If you ask, they can say either yes or no. Why not ask!",https://captionsbest.blogspot.com/2013/05/new-places-to-teach.html
"You need to ask for what you need, otherwise you will never get it. There are lots of banks around, but moving is always a pain with investments accounts. Time will tell if they will find me a local rep. They want me to use someone far away. With hearing problems this does not work for me.",https://captionsbest.blogspot.com/2013/05/fancy-nancy-speaks-up-at-bank.html
Never too old to learn!,https://captionsbest.blogspot.com/2013/05/fancy-nancy-goofed.html
Every day is a new adventure. You have to learn to roll with the punches.,https://captionsbest.blogspot.com/2013/04/fancy-nancy-did-fun-program.html
You are lucky when you enjoy your job.,https://captionsbest.blogspot.com/2013/04/last-teaching-class-today.html
